Variable,Mean,Median,Std. Devn,Min,Max
GIND10Y,732.11,738.1,53.12,633.3,818.1
GIND1Y,655.37,659.4,62.34,547,764.7
IRSW1,624.74,643.5,74.71,501,756
Liq,-0.6,-0.37,0.74,-3.06,0.63
WACR,596.89,607.75,44.99,502.29,702.06
EFFR,209.95,218,28.42,155,245
DGS10,252.67,271,50.2,147,323
s101,76.74,82,22.16,25.9,121.8
Intervention Period,,,,,
GIND10Y,608.22,601.5,25.64,575,680
GIND1Y,414.37,384.3,73.82,331.5,577.2
IRSW1,404.77,379,56.84,356,541
Liq,-5.05,-5.57,1.84,-8.52,-0.31
WACR,371.35,341.48,70.26,302.3,534.3
EFFR,34.6,9,56.14,4,160
DGS10,112.17,95,44.15,52,193
s101,193.85,215.55,52.4,79.9,258.1
